review_profilename_index,recommendations
6850,"[Row(beer_beerid=51494, rating=4.633726596832275), Row(beer_beerid=35361, rating=4.609248161315918)]"
6873,"[Row(beer_beerid=74086, rating=5.278359413146973), Row(beer_beerid=42941, rating=5.127285957336426)]"
6874,"[Row(beer_beerid=71070, rating=5.364348888397217), Row(beer_beerid=60829, rating=5.2993483543396)]"
6876,"[Row(beer_beerid=54147, rating=5.156341075897217), Row(beer_beerid=48849, rating=5.11165189743042)]"
6877,"[Row(beer_beerid=52862, rating=4.725862979888916), Row(beer_beerid=51494, rating=4.427155494689941)]"
6878,"[Row(beer_beerid=51494, rating=5.23891019821167), Row(beer_beerid=13222, rating=5.147091865539551)]"
6879,"[Row(beer_beerid=42941, rating=4.750137805938721), Row(beer_beerid=51494, rating=4.748905181884766)]"
6882,"[Row(beer_beerid=52862, rating=5.1804304122924805), Row(beer_beerid=51494, rating=4.963764667510986)]"
6884,"[Row(beer_beerid=1270, rating=5.27053689956665), Row(beer_beerid=65602, rating=5.253023624420166)]"
6886,"[Row(beer_beerid=65602, rating=5.332280158996582), Row(beer_beerid=66415, rating=5.182544708251953)]"
6893,"[Row(beer_beerid=73262, rating=5.215246677398682), Row(beer_beerid=55192, rating=5.146524429321289)]"
6900,"[Row(beer_beerid=51494, rating=5.270034313201904), Row(beer_beerid=35361, rating=5.227016448974609)]"
6901,"[Row(beer_beerid=52862, rating=5.720542907714844), Row(beer_beerid=1819, rating=5.502544403076172)]"
6906,"[Row(beer_beerid=35361, rating=5.201244831085205), Row(beer_beerid=51494, rating=5.124547004699707)]"
6914,"[Row(beer_beerid=35361, rating=4.906332492828369), Row(beer_beerid=51494, rating=4.715803623199463)]"
6921,"[Row(beer_beerid=73262, rating=5.175809860229492), Row(beer_beerid=65602, rating=5.145764350891113)]"
6935,"[Row(beer_beerid=35361, rating=5.481256008148193), Row(beer_beerid=51494, rating=5.385807514190674)]"
6940,"[Row(beer_beerid=65602, rating=5.329622268676758), Row(beer_beerid=52862, rating=5.317838668823242)]"
6958,"[Row(beer_beerid=51494, rating=5.034863471984863), Row(beer_beerid=25702, rating=5.030353546142578)]"
6959,"[Row(beer_beerid=1270, rating=5.569072723388672), Row(beer_beerid=76115, rating=5.349454879760742)]"
6961,"[Row(beer_beerid=52862, rating=5.5112504959106445), Row(beer_beerid=65602, rating=5.400001049041748)]"
6963,"[Row(beer_beerid=51494, rating=5.3032612800598145), Row(beer_beerid=35361, rating=5.223255157470703)]"
6974,"[Row(beer_beerid=51494, rating=5.1548967361450195), Row(beer_beerid=42941, rating=5.068082809448242)]"
6976,"[Row(beer_beerid=50493, rating=5.907865047454834), Row(beer_beerid=21646, rating=5.398321628570557)]"
6978,"[Row(beer_beerid=52862, rating=5.0569167137146), Row(beer_beerid=35361, rating=4.926992416381836)]"
6980,"[Row(beer_beerid=52862, rating=5.369699478149414), Row(beer_beerid=58479, rating=5.158705234527588)]"
6984,"[Row(beer_beerid=66841, rating=4.719266414642334), Row(beer_beerid=73262, rating=4.7078399658203125)]"
6985,"[Row(beer_beerid=20507, rating=5.197426795959473), Row(beer_beerid=35361, rating=5.086219787597656)]"
6990,"[Row(beer_beerid=51494, rating=5.328280925750732), Row(beer_beerid=42941, rating=5.263144016265869)]"
6992,"[Row(beer_beerid=70633, rating=5.494619369506836), Row(beer_beerid=51494, rating=5.411349296569824)]"
6994,"[Row(beer_beerid=51494, rating=5.088798522949219), Row(beer_beerid=25702, rating=5.048511028289795)]"
6999,"[Row(beer_beerid=42941, rating=5.380488395690918), Row(beer_beerid=35361, rating=5.363208770751953)]"
7006,"[Row(beer_beerid=20507, rating=5.055839538574219), Row(beer_beerid=58479, rating=4.9618377685546875)]"
7009,"[Row(beer_beerid=35361, rating=4.979531764984131), Row(beer_beerid=25702, rating=4.781476974487305)]"
7012,"[Row(beer_beerid=1270, rating=5.888602256774902), Row(beer_beerid=45680, rating=5.804147243499756)]"
7014,"[Row(beer_beerid=65602, rating=5.4257707595825195), Row(beer_beerid=66415, rating=5.280783176422119)]"
7019,"[Row(beer_beerid=28603, rating=4.702378749847412), Row(beer_beerid=51494, rating=4.674306392669678)]"
7022,"[Row(beer_beerid=51494, rating=4.943105697631836), Row(beer_beerid=42941, rating=4.936883449554443)]"
7028,"[Row(beer_beerid=51494, rating=5.415676116943359), Row(beer_beerid=13222, rating=5.193338394165039)]"
7029,"[Row(beer_beerid=25919, rating=4.81688928604126), Row(beer_beerid=25156, rating=4.81688928604126)]"
7031,"[Row(beer_beerid=65602, rating=5.359013557434082), Row(beer_beerid=42941, rating=5.3458170890808105)]"
7034,"[Row(beer_beerid=52862, rating=6.628279209136963), Row(beer_beerid=57134, rating=6.161203861236572)]"
7037,"[Row(beer_beerid=51494, rating=5.6463942527771), Row(beer_beerid=68614, rating=5.472344875335693)]"
7039,"[Row(beer_beerid=51494, rating=5.5212297439575195), Row(beer_beerid=45680, rating=5.468858242034912)]"
7046,"[Row(beer_beerid=25702, rating=5.182271480560303), Row(beer_beerid=58479, rating=5.139716625213623)]"
7053,"[Row(beer_beerid=12413, rating=5.531062126159668), Row(beer_beerid=8176, rating=5.531062126159668)]"
7057,"[Row(beer_beerid=65602, rating=5.021472454071045), Row(beer_beerid=67231, rating=4.960934162139893)]"
7068,"[Row(beer_beerid=52862, rating=6.039831638336182), Row(beer_beerid=73262, rating=5.393314361572266)]"
7070,"[Row(beer_beerid=52862, rating=5.365786552429199), Row(beer_beerid=51494, rating=5.312061786651611)]"
7072,"[Row(beer_beerid=35361, rating=5.702633380889893), Row(beer_beerid=52862, rating=5.660351276397705)]"
7083,"[Row(beer_beerid=52862, rating=5.22537899017334), Row(beer_beerid=51494, rating=5.102794170379639)]"
7090,"[Row(beer_beerid=55042, rating=4.986658573150635), Row(beer_beerid=54323, rating=4.986658573150635)]"
7093,"[Row(beer_beerid=51494, rating=5.283564567565918), Row(beer_beerid=42941, rating=5.279427528381348)]"
7095,"[Row(beer_beerid=73262, rating=5.338727951049805), Row(beer_beerid=20507, rating=5.267673015594482)]"
7096,"[Row(beer_beerid=51494, rating=5.508100986480713), Row(beer_beerid=64744, rating=5.3238701820373535)]"
7097,"[Row(beer_beerid=35361, rating=5.5175089836120605), Row(beer_beerid=51494, rating=5.438126564025879)]"
7101,"[Row(beer_beerid=52862, rating=5.629654407501221), Row(beer_beerid=39373, rating=5.204121112823486)]"
7102,"[Row(beer_beerid=73262, rating=5.017214298248291), Row(beer_beerid=10793, rating=4.970869064331055)]"
7107,"[Row(beer_beerid=65602, rating=5.141473770141602), Row(beer_beerid=55192, rating=5.0436859130859375)]"
7108,"[Row(beer_beerid=58479, rating=5.22972297668457), Row(beer_beerid=57390, rating=5.22972297668457)]"
7110,"[Row(beer_beerid=51494, rating=5.174924850463867), Row(beer_beerid=25702, rating=5.143331527709961)]"
7112,"[Row(beer_beerid=60009, rating=6.7920684814453125), Row(beer_beerid=65323, rating=6.700058460235596)]"
7114,"[Row(beer_beerid=51124, rating=5.165205478668213), Row(beer_beerid=55231, rating=5.096043586730957)]"
7117,"[Row(beer_beerid=51494, rating=6.087307929992676), Row(beer_beerid=35361, rating=5.91388463973999)]"
7127,"[Row(beer_beerid=51494, rating=5.304029941558838), Row(beer_beerid=64744, rating=5.27449893951416)]"
7128,"[Row(beer_beerid=52862, rating=5.4059038162231445), Row(beer_beerid=58479, rating=5.134082317352295)]"
7139,"[Row(beer_beerid=1270, rating=5.231105804443359), Row(beer_beerid=62029, rating=5.172064304351807)]"
7142,"[Row(beer_beerid=45840, rating=5.64390754699707), Row(beer_beerid=70523, rating=5.631165981292725)]"
7144,"[Row(beer_beerid=35361, rating=5.52280330657959), Row(beer_beerid=25702, rating=5.510855197906494)]"
7145,"[Row(beer_beerid=52862, rating=4.701536655426025), Row(beer_beerid=51494, rating=4.377774238586426)]"
7148,"[Row(beer_beerid=51494, rating=5.329674243927002), Row(beer_beerid=52862, rating=5.323569297790527)]"
7156,"[Row(beer_beerid=74112, rating=5.474902153015137), Row(beer_beerid=73262, rating=5.162731170654297)]"
7157,"[Row(beer_beerid=35361, rating=5.793833255767822), Row(beer_beerid=64744, rating=5.588581562042236)]"
7158,"[Row(beer_beerid=51494, rating=5.19317626953125), Row(beer_beerid=13222, rating=5.100033283233643)]"
7161,"[Row(beer_beerid=74086, rating=5.201575756072998), Row(beer_beerid=51494, rating=5.162296772003174)]"
7165,"[Row(beer_beerid=52862, rating=4.946443557739258), Row(beer_beerid=66841, rating=4.915687084197998)]"
7170,"[Row(beer_beerid=73262, rating=6.287172317504883), Row(beer_beerid=60009, rating=6.269675254821777)]"
7174,"[Row(beer_beerid=35361, rating=5.272819519042969), Row(beer_beerid=67231, rating=5.073290824890137)]"
7176,"[Row(beer_beerid=20507, rating=5.728233337402344), Row(beer_beerid=57535, rating=5.523297309875488)]"
7177,"[Row(beer_beerid=73262, rating=5.45304536819458), Row(beer_beerid=48849, rating=5.324394226074219)]"
7178,"[Row(beer_beerid=35361, rating=5.401873588562012), Row(beer_beerid=51494, rating=5.281456470489502)]"
7181,"[Row(beer_beerid=52862, rating=5.877956867218018), Row(beer_beerid=39373, rating=5.189155578613281)]"
7182,"[Row(beer_beerid=52862, rating=5.336088180541992), Row(beer_beerid=46517, rating=4.630311489105225)]"
7191,"[Row(beer_beerid=74086, rating=5.244685173034668), Row(beer_beerid=51494, rating=5.099209785461426)]"
7204,"[Row(beer_beerid=51494, rating=4.582864284515381), Row(beer_beerid=42941, rating=4.501160621643066)]"
7208,"[Row(beer_beerid=65602, rating=4.9761223793029785), Row(beer_beerid=55192, rating=4.974447250366211)]"
7213,"[Row(beer_beerid=52862, rating=5.522004127502441), Row(beer_beerid=58844, rating=5.169456958770752)]"
7214,"[Row(beer_beerid=35361, rating=5.735910415649414), Row(beer_beerid=64744, rating=5.645562648773193)]"
7215,"[Row(beer_beerid=35361, rating=4.993483543395996), Row(beer_beerid=67231, rating=4.938841819763184)]"
7220,"[Row(beer_beerid=51494, rating=5.254013538360596), Row(beer_beerid=42941, rating=5.126687049865723)]"
7223,"[Row(beer_beerid=51494, rating=5.302292823791504), Row(beer_beerid=62900, rating=5.155191898345947)]"
7226,"[Row(beer_beerid=51494, rating=5.551898956298828), Row(beer_beerid=52862, rating=5.491691589355469)]"
7231,"[Row(beer_beerid=70645, rating=5.306184768676758), Row(beer_beerid=64019, rating=5.286349296569824)]"
7233,"[Row(beer_beerid=54147, rating=4.880026817321777), Row(beer_beerid=51494, rating=4.834988117218018)]"
7238,"[Row(beer_beerid=35361, rating=5.240396022796631), Row(beer_beerid=42941, rating=5.222187519073486)]"
7247,"[Row(beer_beerid=42941, rating=5.331470966339111), Row(beer_beerid=51494, rating=5.311081886291504)]"
7248,"[Row(beer_beerid=65602, rating=4.960340976715088), Row(beer_beerid=55192, rating=4.892772674560547)]"
7249,"[Row(beer_beerid=52862, rating=5.048745155334473), Row(beer_beerid=58479, rating=4.8654632568359375)]"
7254,"[Row(beer_beerid=35361, rating=5.032081604003906), Row(beer_beerid=51494, rating=4.979156494140625)]"
7259,"[Row(beer_beerid=51494, rating=4.928403854370117), Row(beer_beerid=42941, rating=4.9116740226745605)]"
7260,"[Row(beer_beerid=58844, rating=5.60500955581665), Row(beer_beerid=62709, rating=5.556283473968506)]"
7262,"[Row(beer_beerid=65602, rating=5.787766456604004), Row(beer_beerid=1270, rating=5.729082107543945)]"
7264,"[Row(beer_beerid=1270, rating=6.198505401611328), Row(beer_beerid=32247, rating=5.903933048248291)]"
7270,"[Row(beer_beerid=52862, rating=5.886880874633789), Row(beer_beerid=73262, rating=5.541006565093994)]"
7272,"[Row(beer_beerid=65602, rating=5.787967681884766), Row(beer_beerid=66415, rating=5.618663311004639)]"
7274,"[Row(beer_beerid=48000, rating=5.18107271194458), Row(beer_beerid=58479, rating=5.166510105133057)]"
7275,"[Row(beer_beerid=65602, rating=5.460258483886719), Row(beer_beerid=52862, rating=5.445939064025879)]"
7278,"[Row(beer_beerid=51494, rating=5.26640510559082), Row(beer_beerid=52862, rating=5.263254642486572)]"
7280,"[Row(beer_beerid=39373, rating=5.793018341064453), Row(beer_beerid=52862, rating=5.601708889007568)]"
7291,"[Row(beer_beerid=65602, rating=4.8548688888549805), Row(beer_beerid=52862, rating=4.788199424743652)]"
7296,"[Row(beer_beerid=51494, rating=5.095800876617432), Row(beer_beerid=42941, rating=5.014873504638672)]"
7299,"[Row(beer_beerid=51494, rating=5.3745527267456055), Row(beer_beerid=35361, rating=5.3681440353393555)]"
7301,"[Row(beer_beerid=52862, rating=5.608262538909912), Row(beer_beerid=51494, rating=5.4008893966674805)]"
7309,"[Row(beer_beerid=65602, rating=5.581585884094238), Row(beer_beerid=66415, rating=5.4139299392700195)]"
7317,"[Row(beer_beerid=52862, rating=5.555285930633545), Row(beer_beerid=69291, rating=4.753775119781494)]"
7319,"[Row(beer_beerid=52862, rating=5.270223140716553), Row(beer_beerid=73262, rating=4.917884826660156)]"
7327,"[Row(beer_beerid=42941, rating=5.5384626388549805), Row(beer_beerid=45680, rating=5.517497539520264)]"
7328,"[Row(beer_beerid=74086, rating=5.275684833526611), Row(beer_beerid=73262, rating=5.255629062652588)]"
7348,"[Row(beer_beerid=51494, rating=5.2476582527160645), Row(beer_beerid=28603, rating=5.122404098510742)]"
7349,"[Row(beer_beerid=52862, rating=5.590598106384277), Row(beer_beerid=73262, rating=5.248533248901367)]"
7352,"[Row(beer_beerid=42941, rating=5.048461437225342), Row(beer_beerid=76115, rating=5.03165340423584)]"
7362,"[Row(beer_beerid=51494, rating=5.495145320892334), Row(beer_beerid=52862, rating=5.459822177886963)]"
7363,"[Row(beer_beerid=52862, rating=5.134713172912598), Row(beer_beerid=73262, rating=5.089725494384766)]"
7365,"[Row(beer_beerid=52862, rating=5.195369720458984), Row(beer_beerid=51494, rating=5.191870212554932)]"
7366,"[Row(beer_beerid=52862, rating=5.112631320953369), Row(beer_beerid=45680, rating=5.047472953796387)]"
7368,"[Row(beer_beerid=58844, rating=5.310185432434082), Row(beer_beerid=51494, rating=5.12248420715332)]"
7370,"[Row(beer_beerid=73262, rating=4.777224063873291), Row(beer_beerid=74086, rating=4.67495584487915)]"
7372,"[Row(beer_beerid=62029, rating=6.474310398101807), Row(beer_beerid=58844, rating=6.261038303375244)]"
7379,"[Row(beer_beerid=20507, rating=5.930038928985596), Row(beer_beerid=51264, rating=5.5777153968811035)]"
7383,"[Row(beer_beerid=42941, rating=5.541342258453369), Row(beer_beerid=76115, rating=5.478287220001221)]"
7389,"[Row(beer_beerid=58479, rating=5.692946434020996), Row(beer_beerid=57390, rating=5.692946434020996)]"
7393,"[Row(beer_beerid=58479, rating=5.023698806762695), Row(beer_beerid=57390, rating=5.023698806762695)]"
7396,"[Row(beer_beerid=8130, rating=5.533007621765137), Row(beer_beerid=20507, rating=5.394296646118164)]"
7401,"[Row(beer_beerid=11568, rating=5.556485176086426), Row(beer_beerid=73262, rating=5.332189083099365)]"
7402,"[Row(beer_beerid=65602, rating=5.126546859741211), Row(beer_beerid=51494, rating=4.9995808601379395)]"
7408,"[Row(beer_beerid=52862, rating=5.110199928283691), Row(beer_beerid=67231, rating=5.067688465118408)]"
7411,"[Row(beer_beerid=65602, rating=5.306987285614014), Row(beer_beerid=73262, rating=5.213953495025635)]"
7416,"[Row(beer_beerid=35361, rating=5.412553787231445), Row(beer_beerid=70645, rating=5.300785064697266)]"
7420,"[Row(beer_beerid=52862, rating=5.062553405761719), Row(beer_beerid=51494, rating=5.055886268615723)]"
7423,"[Row(beer_beerid=48553, rating=5.681840419769287), Row(beer_beerid=60009, rating=5.595816135406494)]"
7425,"[Row(beer_beerid=51494, rating=5.24433708190918), Row(beer_beerid=42941, rating=5.140282154083252)]"
7427,"[Row(beer_beerid=73262, rating=5.8502116203308105), Row(beer_beerid=52862, rating=5.640286922454834)]"
7428,"[Row(beer_beerid=35361, rating=5.426725387573242), Row(beer_beerid=25702, rating=5.167465686798096)]"
7429,"[Row(beer_beerid=58479, rating=4.981477737426758), Row(beer_beerid=57390, rating=4.981477737426758)]"
7432,"[Row(beer_beerid=42941, rating=5.106716156005859), Row(beer_beerid=35361, rating=5.0847039222717285)]"
7433,"[Row(beer_beerid=51494, rating=5.553203105926514), Row(beer_beerid=35361, rating=5.425218105316162)]"
7434,"[Row(beer_beerid=73262, rating=5.07713508605957), Row(beer_beerid=67231, rating=5.070807933807373)]"
7436,"[Row(beer_beerid=45680, rating=4.823333263397217), Row(beer_beerid=51494, rating=4.814342021942139)]"
7437,"[Row(beer_beerid=52862, rating=5.096661567687988), Row(beer_beerid=35361, rating=4.787024021148682)]"
7441,"[Row(beer_beerid=38884, rating=5.137494087219238), Row(beer_beerid=25919, rating=5.115438938140869)]"
7444,"[Row(beer_beerid=51494, rating=5.355646133422852), Row(beer_beerid=52862, rating=5.3451924324035645)]"
7449,"[Row(beer_beerid=51494, rating=5.340717792510986), Row(beer_beerid=25702, rating=5.261160850524902)]"
7451,"[Row(beer_beerid=39373, rating=5.347133159637451), Row(beer_beerid=52862, rating=5.22920560836792)]"
7465,"[Row(beer_beerid=65602, rating=6.030880928039551), Row(beer_beerid=52862, rating=6.011427879333496)]"
7470,"[Row(beer_beerid=51494, rating=4.920989036560059), Row(beer_beerid=25702, rating=4.8471527099609375)]"
7473,"[Row(beer_beerid=42941, rating=5.390768527984619), Row(beer_beerid=51494, rating=5.3825459480285645)]"
7480,"[Row(beer_beerid=51494, rating=5.438937664031982), Row(beer_beerid=66841, rating=5.311733245849609)]"
7490,"[Row(beer_beerid=1270, rating=5.342155933380127), Row(beer_beerid=65602, rating=5.247896671295166)]"
7494,"[Row(beer_beerid=52862, rating=5.601187229156494), Row(beer_beerid=58844, rating=5.461081027984619)]"
7503,"[Row(beer_beerid=35361, rating=5.356391429901123), Row(beer_beerid=42941, rating=5.337991237640381)]"
7506,"[Row(beer_beerid=42941, rating=5.709668159484863), Row(beer_beerid=45680, rating=5.687829971313477)]"
7509,"[Row(beer_beerid=52862, rating=5.486419200897217), Row(beer_beerid=67231, rating=5.179072380065918)]"
7513,"[Row(beer_beerid=45680, rating=5.4193115234375), Row(beer_beerid=48849, rating=5.3954691886901855)]"
7515,"[Row(beer_beerid=51494, rating=5.234274864196777), Row(beer_beerid=46517, rating=5.146670818328857)]"
7517,"[Row(beer_beerid=52862, rating=5.0110249519348145), Row(beer_beerid=51494, rating=4.979917526245117)]"
7520,"[Row(beer_beerid=52862, rating=5.163741111755371), Row(beer_beerid=67231, rating=4.877032279968262)]"
7523,"[Row(beer_beerid=51494, rating=5.528042316436768), Row(beer_beerid=42941, rating=5.387845993041992)]"
7524,"[Row(beer_beerid=52862, rating=5.6514129638671875), Row(beer_beerid=35361, rating=5.594542503356934)]"
7528,"[Row(beer_beerid=35361, rating=4.987905502319336), Row(beer_beerid=51494, rating=4.98698616027832)]"
7532,"[Row(beer_beerid=35361, rating=5.122288703918457), Row(beer_beerid=42941, rating=5.099266529083252)]"
7538,"[Row(beer_beerid=21646, rating=3.8398876190185547), Row(beer_beerid=21596, rating=3.824716806411743)]"
7541,"[Row(beer_beerid=51494, rating=4.9563398361206055), Row(beer_beerid=42941, rating=4.891512870788574)]"
7546,"[Row(beer_beerid=51494, rating=5.336549758911133), Row(beer_beerid=45680, rating=5.320496559143066)]"
7549,"[Row(beer_beerid=42941, rating=4.7054901123046875), Row(beer_beerid=51494, rating=4.701291084289551)]"
7552,"[Row(beer_beerid=51494, rating=5.152101516723633), Row(beer_beerid=52862, rating=5.146441459655762)]"
7558,"[Row(beer_beerid=51494, rating=5.102019786834717), Row(beer_beerid=35361, rating=4.95782470703125)]"
7559,"[Row(beer_beerid=51494, rating=5.246815204620361), Row(beer_beerid=45400, rating=5.139584541320801)]"
7564,"[Row(beer_beerid=58844, rating=4.719543933868408), Row(beer_beerid=76115, rating=4.703847408294678)]"
7566,"[Row(beer_beerid=51494, rating=5.156401634216309), Row(beer_beerid=42941, rating=5.132160186767578)]"
7572,"[Row(beer_beerid=35361, rating=5.656624794006348), Row(beer_beerid=25702, rating=5.4984941482543945)]"
7578,"[Row(beer_beerid=74086, rating=5.43845796585083), Row(beer_beerid=42941, rating=5.34047269821167)]"
7581,"[Row(beer_beerid=65469, rating=5.407535076141357), Row(beer_beerid=25702, rating=5.392967700958252)]"
7595,"[Row(beer_beerid=51494, rating=5.15009880065918), Row(beer_beerid=13222, rating=4.9611616134643555)]"
7601,"[Row(beer_beerid=51494, rating=4.8734235763549805), Row(beer_beerid=52862, rating=4.780884742736816)]"
7605,"[Row(beer_beerid=35361, rating=4.855451583862305), Row(beer_beerid=51494, rating=4.569453716278076)]"
7606,"[Row(beer_beerid=12413, rating=5.65673303604126), Row(beer_beerid=8176, rating=5.65673303604126)]"
7612,"[Row(beer_beerid=52862, rating=5.124083042144775), Row(beer_beerid=51494, rating=5.002036094665527)]"
7614,"[Row(beer_beerid=52862, rating=5.175707817077637), Row(beer_beerid=35361, rating=5.006404399871826)]"
7617,"[Row(beer_beerid=35361, rating=5.447081089019775), Row(beer_beerid=51494, rating=5.365140914916992)]"
7618,"[Row(beer_beerid=55192, rating=5.455178260803223), Row(beer_beerid=60009, rating=5.271323204040527)]"
7621,"[Row(beer_beerid=52862, rating=5.115016937255859), Row(beer_beerid=46517, rating=4.919718265533447)]"
7628,"[Row(beer_beerid=51494, rating=5.253174781799316), Row(beer_beerid=42941, rating=5.082982540130615)]"
7633,"[Row(beer_beerid=52862, rating=5.866029739379883), Row(beer_beerid=64487, rating=5.012303829193115)]"
7640,"[Row(beer_beerid=52862, rating=5.743162155151367), Row(beer_beerid=73262, rating=5.380984783172607)]"
7641,"[Row(beer_beerid=73262, rating=5.226644992828369), Row(beer_beerid=52862, rating=5.205141067504883)]"
7645,"[Row(beer_beerid=51494, rating=5.35200309753418), Row(beer_beerid=35361, rating=5.316058158874512)]"
7648,"[Row(beer_beerid=51494, rating=4.994327545166016), Row(beer_beerid=73262, rating=4.934559345245361)]"
7650,"[Row(beer_beerid=51494, rating=4.898988723754883), Row(beer_beerid=52862, rating=4.851199626922607)]"
7651,"[Row(beer_beerid=52862, rating=6.224961280822754), Row(beer_beerid=3984, rating=5.453546524047852)]"
7653,"[Row(beer_beerid=1819, rating=5.355453014373779), Row(beer_beerid=45680, rating=5.264318943023682)]"
7655,"[Row(beer_beerid=1270, rating=5.784738540649414), Row(beer_beerid=74086, rating=5.270651817321777)]"
7657,"[Row(beer_beerid=52862, rating=5.053639888763428), Row(beer_beerid=51494, rating=5.049119472503662)]"
7660,"[Row(beer_beerid=51494, rating=5.112255096435547), Row(beer_beerid=64744, rating=4.940462589263916)]"
7664,"[Row(beer_beerid=51494, rating=5.136322975158691), Row(beer_beerid=45680, rating=5.06914758682251)]"
7665,"[Row(beer_beerid=42941, rating=5.647840976715088), Row(beer_beerid=51494, rating=5.598107814788818)]"
7667,"[Row(beer_beerid=51494, rating=5.164460182189941), Row(beer_beerid=42941, rating=5.098978042602539)]"
7669,"[Row(beer_beerid=65602, rating=5.612149715423584), Row(beer_beerid=1270, rating=5.477626323699951)]"
7672,"[Row(beer_beerid=65602, rating=5.325168609619141), Row(beer_beerid=55192, rating=5.316049575805664)]"
7680,"[Row(beer_beerid=35361, rating=5.18580961227417), Row(beer_beerid=64744, rating=5.170793533325195)]"
7682,"[Row(beer_beerid=65602, rating=5.495401382446289), Row(beer_beerid=58479, rating=5.366045951843262)]"
7686,"[Row(beer_beerid=45680, rating=4.901239395141602), Row(beer_beerid=52862, rating=4.8661065101623535)]"
7688,"[Row(beer_beerid=51494, rating=5.006277084350586), Row(beer_beerid=35361, rating=4.905070781707764)]"
7692,"[Row(beer_beerid=65602, rating=5.2661919593811035), Row(beer_beerid=51494, rating=5.22204065322876)]"
7693,"[Row(beer_beerid=65602, rating=6.1188883781433105), Row(beer_beerid=52862, rating=5.97594690322876)]"
7703,"[Row(beer_beerid=35361, rating=4.561969757080078), Row(beer_beerid=73262, rating=4.542725563049316)]"
7704,"[Row(beer_beerid=45680, rating=5.180991172790527), Row(beer_beerid=51494, rating=5.158398151397705)]"
7705,"[Row(beer_beerid=51494, rating=4.671410083770752), Row(beer_beerid=35361, rating=4.661891460418701)]"
7714,"[Row(beer_beerid=73262, rating=4.892218112945557), Row(beer_beerid=48849, rating=4.880541801452637)]"
7715,"[Row(beer_beerid=65602, rating=5.003439903259277), Row(beer_beerid=66415, rating=4.947052001953125)]"
7722,"[Row(beer_beerid=42941, rating=5.275662899017334), Row(beer_beerid=66841, rating=5.2314581871032715)]"
7727,"[Row(beer_beerid=71070, rating=4.298899173736572), Row(beer_beerid=38372, rating=4.038087368011475)]"
7735,"[Row(beer_beerid=52862, rating=5.3555707931518555), Row(beer_beerid=67231, rating=5.326747417449951)]"
7739,"[Row(beer_beerid=65602, rating=5.645071029663086), Row(beer_beerid=76115, rating=5.576361656188965)]"
7740,"[Row(beer_beerid=35361, rating=6.192113876342773), Row(beer_beerid=51494, rating=6.067690849304199)]"
7741,"[Row(beer_beerid=35361, rating=5.198534965515137), Row(beer_beerid=51494, rating=5.174639701843262)]"
7745,"[Row(beer_beerid=52862, rating=5.723960876464844), Row(beer_beerid=58479, rating=5.546363830566406)]"
7757,"[Row(beer_beerid=51494, rating=5.047480583190918), Row(beer_beerid=42941, rating=4.911529064178467)]"
7759,"[Row(beer_beerid=51494, rating=5.190158367156982), Row(beer_beerid=46517, rating=5.174482822418213)]"
7764,"[Row(beer_beerid=74086, rating=4.78310489654541), Row(beer_beerid=73262, rating=4.729413986206055)]"
7765,"[Row(beer_beerid=51494, rating=4.892242431640625), Row(beer_beerid=52862, rating=4.866517543792725)]"
7766,"[Row(beer_beerid=52862, rating=5.209143161773682), Row(beer_beerid=51494, rating=5.041398048400879)]"
7767,"[Row(beer_beerid=52862, rating=5.063413619995117), Row(beer_beerid=35361, rating=5.038923263549805)]"
7774,"[Row(beer_beerid=35361, rating=5.038540363311768), Row(beer_beerid=25702, rating=5.0376667976379395)]"
7775,"[Row(beer_beerid=51494, rating=5.292942047119141), Row(beer_beerid=42941, rating=5.274478912353516)]"
7781,"[Row(beer_beerid=42941, rating=5.08690881729126), Row(beer_beerid=76115, rating=5.062154769897461)]"
7784,"[Row(beer_beerid=42941, rating=4.771383762359619), Row(beer_beerid=35361, rating=4.7567877769470215)]"
7791,"[Row(beer_beerid=35361, rating=5.20145845413208), Row(beer_beerid=52862, rating=5.132884979248047)]"
7793,"[Row(beer_beerid=51494, rating=4.976574420928955), Row(beer_beerid=46517, rating=4.892709255218506)]"
7794,"[Row(beer_beerid=51494, rating=5.434872627258301), Row(beer_beerid=35361, rating=5.311192512512207)]"
7795,"[Row(beer_beerid=51494, rating=5.073932647705078), Row(beer_beerid=45400, rating=4.967948913574219)]"
7798,"[Row(beer_beerid=1270, rating=5.729203701019287), Row(beer_beerid=55192, rating=5.228431701660156)]"
7815,"[Row(beer_beerid=1270, rating=5.427201271057129), Row(beer_beerid=65602, rating=5.237861633300781)]"
7816,"[Row(beer_beerid=52862, rating=5.076462745666504), Row(beer_beerid=65602, rating=4.831442832946777)]"
7824,"[Row(beer_beerid=1270, rating=5.474129676818848), Row(beer_beerid=55192, rating=5.035280227661133)]"
7831,"[Row(beer_beerid=42784, rating=5.672712326049805), Row(beer_beerid=1270, rating=5.435957431793213)]"
7832,"[Row(beer_beerid=74086, rating=4.992223262786865), Row(beer_beerid=52862, rating=4.88633394241333)]"
7842,"[Row(beer_beerid=20507, rating=5.005589962005615), Row(beer_beerid=32247, rating=4.855628490447998)]"
7846,"[Row(beer_beerid=51494, rating=5.171694755554199), Row(beer_beerid=13222, rating=5.059413433074951)]"
